figure	panel	figure_main_claim	panel_title	independent_scientific_question	evidence_grade	data_source_class	evidence_data_type	source_data_file	plotting_code	metric	unit	n_definition	statistical_definition	effect_size_definition	confidence_interval_or_error_bar	missing_value_handling	batch_or_confounder_control	random_seed	reviewer_risk	panel_decision
Fig3	a	The same single-cell data support different biological claims under different mechanism families.	How do eight methods represent discrete PBMC identities?	How do eight methods represent discrete PBMC identities?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_pbmc3k_embedding_coordinates.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 21104 plotted cell-embedding rows; cells are visualization units, not biological replicates	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; visual pattern must be linked to quantitative panels.	keep; countable source-data-backed evidence panel
Fig3	b	The same single-cell data support different biological claims under different mechanism families.	How do eight methods represent a continuous Paul15 hematopoietic structure?	How do eight methods represent a continuous Paul15 hematopoietic structure?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_paul15_embedding_coordinates.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 21840 plotted cell-embedding rows; cells are visualization units, not biological replicates	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; continuum claims require Fig4/Fig5 support.	keep; countable source-data-backed evidence panel
Fig3	c	The same single-cell data support different biological claims under different mechanism families.	How do eight methods represent donor-variable heart atlas states?	How do eight methods represent donor-variable heart atlas states?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_heart_embedding_coordinates.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 64000 plotted cell-embedding rows; cells are visualization units, not biological replicates	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; donor effects require donor-aware panels.	keep; countable source-data-backed evidence panel
Fig3	d	The same single-cell data support different biological claims under different mechanism families.	Which mechanism families preserve local, global and label structure across contexts?	Which mechanism families preserve local, global and label structure across contexts?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_family_local_label_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 96 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; aggregation across methods must be stated.	keep; countable source-data-backed evidence panel
Fig3	e	The same single-cell data support different biological claims under different mechanism families.	Which methods pass predeclared diagnostics across contexts?	Which methods pass predeclared diagnostics across contexts?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_cross_context_support_matrix.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 120 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; thresholds must be listed in Methods.	keep; countable source-data-backed evidence panel
Fig3	f	The same single-cell data support different biological claims under different mechanism families.	Which methods have distinct metric fingerprints after averaging across contexts?	Which methods have distinct metric fingerprints after averaging across contexts?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_method_metric_wide.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 24 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; averaged scores are source-data derived.	keep; countable source-data-backed evidence panel
Fig3	g	The same single-cell data support different biological claims under different mechanism families.	Which mechanism families pass each diagnostic axis?	Which mechanism families pass each diagnostic axis?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_family_metric_pass_fraction.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 60 mechanism-family-metric rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; pass fraction denominator must be stated.	keep; countable source-data-backed evidence panel
Fig3	h	The same single-cell data support different biological claims under different mechanism families.	Does family-level support depend on biological context?	Does family-level support depend on biological context?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_family_context_pass_fraction.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 12 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; context-specific denominators must be stated.	keep; countable source-data-backed evidence panel
Fig3	i	The same single-cell data support different biological claims under different mechanism families.	Which methods change most across biological contexts?	Which methods change most across biological contexts?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_method_context_metric_range.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 8 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; range is descriptive and derived from method-dataset metrics.	keep; countable source-data-backed evidence panel
Fig3	j	The same single-cell data support different biological claims under different mechanism families.	Do local and global preservation trade off differently across datasets and mechanism families?	Do local and global preservation trade off differently across datasets and mechanism families?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig3_local_global_tradeoff_by_context.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 24 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; thresholds and metric definitions must be stated.	keep; countable source-data-backed evidence panel
Fig4	a	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which methods pass local neighbourhood diagnostics?	Which methods pass local neighbourhood diagnostics?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_local_gate_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 72 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; thresholds defined in Methods.	keep; countable source-data-backed evidence panel
Fig4	b	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which methods preserve global geometry in each context?	Which methods preserve global geometry in each context?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_global_gate_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 24 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; rank sampling must be stated.	keep; countable source-data-backed evidence panel
Fig4	c	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which methods support Paul15 continuum claims?	Which methods support Paul15 continuum claims?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_paul15_continuum_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 16 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; Paul15-specific gate.	keep; countable source-data-backed evidence panel
Fig4	d	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which methods separate cell identity while mixing donor structure?	Which methods separate cell identity while mixing donor structure?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_heart_donor_gate_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 24 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; donor metric interpretation must be explicit.	keep; countable source-data-backed evidence panel
Fig4	e	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which mechanism families pass each claim gate?	Which mechanism families pass each claim gate?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_gate_pass_matrix.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 88 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; aggregation across methods.	keep; countable source-data-backed evidence panel
Fig4	f	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which dataset-gate combinations are hardest to satisfy?	Which dataset-gate combinations are hardest to satisfy?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_gate_pass_matrix.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 88 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; only valid gate-context pairs are displayed.	keep; countable source-data-backed evidence panel
Fig4	g	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which methods pass each gate?	Which methods pass each gate?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_gate_pass_by_method.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 40 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; no missing gate cells.	keep; countable source-data-backed evidence panel
Fig4	h	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Is local retention traded against label recall?	Is local retention traded against label recall?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_local_metric_tradeoff.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 24 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; points are method-dataset rows.	keep; countable source-data-backed evidence panel
