failure_mode,evidence_source,n_cases,fraction_below_threshold,trigger,recommended_action,source_definition
worst_case_PaCMAP_local_retention,fig6_worst_case_support.csv,37,1.0,PaCMAP local_retention falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PaCMAP_trustworthiness,fig6_worst_case_support.csv,37,1.0,PaCMAP trustworthiness falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_UMAP_global_rank_corr,fig6_worst_case_support.csv,37,1.0,UMAP global_rank_corr falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_UMAP_label_neighbor_recall,fig6_worst_case_support.csv,37,1.0,UMAP label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_UMAP_local_retention,fig6_worst_case_support.csv,37,1.0,UMAP local_retention falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_UMAP_trustworthiness,fig6_worst_case_support.csv,37,1.0,UMAP trustworthiness falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_t-SNE_global_rank_corr,fig6_worst_case_support.csv,10,1.0,t-SNE global_rank_corr falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_t-SNE_label_neighbor_recall,fig6_worst_case_support.csv,10,1.0,t-SNE label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_t-SNE_local_retention,fig6_worst_case_support.csv,10,1.0,t-SNE local_retention falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_t-SNE_trustworthiness,fig6_worst_case_support.csv,10,1.0,t-SNE trustworthiness falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
practice_check_output_dimension,fig6_output_dimension_response.csv,240,0.4041666666666667,output_dimension robustness axis contains below-threshold diagnostic rows,Check whether the conclusion changes when the output dimension is increased beyond two.,Derived from Fig6 practice-map synthesis.
practice_check_upstream_pca,fig6_upstream_pca_response.csv,144,0.4583333333333333,upstream_pca robustness axis contains below-threshold diagnostic rows,Check whether graph or relational layouts depend on the supplied PCA reference space.,Derived from Fig6 practice-map synthesis.
practice_check_perturbation,fig6_dropout_noise_response.csv,192,0.4791666666666667,perturbation robustness axis contains below-threshold diagnostic rows,Check whether dropout or noise stress changes the claim-support diagnostics.,Derived from Fig6 practice-map synthesis.
practice_check_mechanism_simulation,fig6_mechanism_simulation_suite.csv,224,0.5,mechanism_simulation robustness axis contains below-threshold diagnostic rows,"Use the mechanism simulation suite as a ground-truth stress test, not as a universal method ranking.",Derived from Fig6 practice-map synthesis.


