figure,panel,figure main claim,panel scientific question,evidence type,source data file,metric or statistical definition,n definition,missing and exclusion rule,inferential scope,reviewer-risk control
Fig3,d,Measured preservation profiles depend on endpoint and biological context.,Which endpoints differ most among empirical contexts?,empirical diagnostic summary,Fig3d_context_metric_means.csv,Mean score across eight methods within each context and diagnostic.,n = 8 method values per context-diagnostic cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,e,Measured preservation profiles depend on endpoint and biological context.,How many diagnostic boundaries does each method meet in each context?,empirical diagnostic summary,fig3_cross_context_support_matrix.csv,"Count of local retention, trustworthiness, global-rank and label-recall boundaries met.",n = 4 diagnostics per method-context row.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,f,Measured preservation profiles depend on endpoint and biological context.,Do methods have distinct endpoint profiles across contexts?,empirical diagnostic summary,fig3_method_metric_wide.csv,Mean diagnostic score across three contexts by method.,n = up to 3 context values per method-diagnostic cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,g,Measured preservation profiles depend on endpoint and biological context.,Which endpoint separates methods most within each context?,empirical diagnostic contrast,Fig3g_between_method_metric_range.csv,Maximum minus minimum score across eight methods.,n = 8 methods per context-diagnostic range.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,h,Measured preservation profiles depend on endpoint and biological context.,Are method ranks stable across empirical contexts?,empirical rank comparison,Fig3h_context_rank_concordance.csv,Spearman correlation of 32 method-diagnostic rank entries between context pairs.,n = 32 ranked method-diagnostic entries per pair.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,i,Measured preservation profiles depend on endpoint and biological context.,Which methods are most sensitive to biological context?,empirical diagnostic contrast,Fig3i_method_context_metric_range.csv,Maximum minus minimum score across three contexts by method and diagnostic.,n = 3 context values per method-diagnostic range.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,j,Measured preservation profiles depend on endpoint and biological context.,Do local and global preservation shift independently across contexts?,empirical trade-off analysis,Fig3j_local_global_tradeoff.csv,Local retention versus global-rank correlation; point area encodes label recall.,n = 24 method-context rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,a,"Diagnostic support is specific to a method, context and intended claim.",Which methods meet the local-neighbourhood gate and the separately reported label-support criterion?,empirical gate component analysis,fig4_local_gate_metrics.csv,Local retention and trustworthiness define the local-neighbourhood gate; label-neighbour recall defines the separate label-support gate.,n = 24 method-context rows per diagnostic.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,b,"Diagnostic support is specific to a method, context and intended claim.",Which methods retain global rank structure in each context?,empirical gate component analysis,fig4_global_gate_metrics.csv,Spearman correlation of reference and embedding pairwise distances.,n = 24 method-context rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,c,"Diagnostic support is specific to a method, context and intended claim.",Which methods meet both Paul15 continuum components?,empirical gate component analysis,fig4_paul15_continuum_metrics.csv,Pseudotime-rank correlation and local pseudotime retention.,n = 8 methods.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,d,"Diagnostic support is specific to a method, context and intended claim.",Which methods retain cell identity without donor-dominated neighbourhoods?,empirical gate component analysis,fig4_heart_donor_gate_metrics.csv,Cell-type recall and normalised donor entropy.,n = 8 methods.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,e,"Diagnostic support is specific to a method, context and intended claim.",How broad is gate support for each method in each context?,empirical gate synthesis,Fig4e_method_context_gate_breadth.csv,Passed gates divided by valid applicable gates.,n is the number of applicable gates in each method-context row.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,f,"Diagnostic support is specific to a method, context and intended claim.",Which claim gates are supported within each dataset?,empirical gate synthesis,fig4_gate_pass_by_dataset.csv,Fraction and count of methods meeting each valid gate.,n = 8 evaluated methods for each valid dataset-gate cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,g,"Diagnostic support is specific to a method, context and intended claim.",Which claim gates are supported by each method?,empirical gate synthesis,fig4_gate_pass_by_method.csv,Passed contexts divided by valid contexts for each method and claim.,n is the number of contexts in which a gate is defined.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,h,"Diagnostic support is specific to a method, context and intended claim.",Does local geometry coincide with label-neighbour recovery?,empirical trade-off analysis,fig4_local_metric_tradeoff.csv,Local retention versus label-neighbour recall with diagnostic boundaries.,n = 24 method-context rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,i,"Diagnostic support is specific to a method, context and intended claim.",Which diagnostic component limits each method?,empirical threshold-margin analysis,Fig4i_method_component_threshold_margins.csv,Mean observed value minus prespecified boundary by method and component.,n is valid method-context component rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig4,j,"Diagnostic support is specific to a method, context and intended claim.",How inconsistent is claim-gate support within each method?,empirical gate heterogeneity,Fig4j_method_gate_inconsistency.csv,Maximum minus minimum valid claim-gate support fraction.,n is the valid claim-gate summaries for each method.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,a,Expression and metadata checks constrain embedding interpretation.,Are PBMC3k annotations supported by expected marker programs?,expression-based consistency,fig5_pbmc_marker_program_table.csv,Marker-program z score by program and annotation.,n = cells contributing to each program-label summary.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,b,Expression and metadata checks constrain embedding interpretation.,Are PBMC3k labels recovered in embedding neighbourhoods?,embedding-neighbour diagnostic,fig5_pbmc_marker_support.csv,Label-neighbour recall by method and label.,n = method-label rows; cell-level neighbours enter each recall.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,c,Expression and metadata checks constrain embedding interpretation.,Do Paul15 lineage programs vary with reference pseudotime?,expression-based continuum consistency,fig5_paul15_lineage_marker_support.csv,Spearman correlation between lineage-program score and pseudotime.,n = 5 lineage programs; cells enter each correlation.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,d,Expression and metadata checks constrain embedding interpretation.,How often are the four biological-consistency checks supported?,biological consistency synthesis,fig5_evidence_support_summary.csv,Passed rows divided by valid rows for each check.,"n is method-label, program or method rows depending on the check.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,e,Expression and metadata checks constrain embedding interpretation.,Are heart annotations supported by expected marker programs?,expression-based consistency,fig5_heart_marker_program_table.csv,Marker-program z score by program and tissue annotation.,n = cells contributing to each program-label summary.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,f,Expression and metadata checks constrain embedding interpretation.,Which low-frequency labels are recovered by each method?,rare-state diagnostic,fig5_rare_state_support.csv,Rare-label neighbour recall by method and label.,n = 56 method-label rows across seven rare labels.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,g,Expression and metadata checks constrain embedding interpretation.,Does marker strength predict embedding-neighbour recovery?,cross-evidence comparison,fig5_marker_vs_neighbour_support.csv,Maximum marker z score versus label-neighbour recall.,n = 64 PBMC method-label rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,h,Expression and metadata checks constrain embedding interpretation.,Which method-label pairs meet both marker and neighbour criteria?,joint biological consistency,Fig5h_method_label_dual_support.csv,Binary conjunction of marker support and label-neighbour recall.,n = 64 PBMC method-label rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,i,Expression and metadata checks constrain embedding interpretation.,Is rare-state support stable between PBMC3k and heart tissue?,rare-state context comparison,Fig5i_method_context_rare_support.csv,Rare labels meeting recall boundary divided by rare labels evaluated.,n = four PBMC and three heart rare labels per method.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig5,j,Expression and metadata checks constrain embedding interpretation.,Does donor mixing coexist with cell-type recovery in heart tissue?,metadata-based consistency,fig5_heart_identity_donor_support.csv,Normalised donor entropy versus cell-type recall.,n = 8 methods.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig6,a,Robustness depends on the analytical axis and diagnostic endpoint.,How does label-neighbour recall respond to output dimension?,computational robustness,fig6_output_dimension_response.csv,"Method mean and observed range across contexts at dimensions 2, 3, 5, 10 and 20.",n = method-context-dimension rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,b,Robustness depends on the analytical axis and diagnostic endpoint.,How does global-rank preservation respond to upstream PCA dimension?,computational robustness,fig6_upstream_pca_response.csv,"Method mean and observed range at 20, 50 and 100 upstream PCs.",n = method-context-upstream-dimension rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,c,Robustness depends on the analytical axis and diagnostic endpoint.,How does label-neighbour recall respond to added dropout?,computational perturbation,fig6_dropout_noise_response.csv,"Method mean and observed range at dropout levels 0, 0.2 and 0.4.",n = method-context-level-replicate rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,d,Robustness depends on the analytical axis and diagnostic endpoint.,How does trustworthiness respond to expression noise?,computational perturbation,fig6_dropout_noise_response.csv,"Method mean and observed range at noise levels 0, 0.2 and 0.4.",n = method-context-level-replicate rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,e,Robustness depends on the analytical axis and diagnostic endpoint.,Which method-endpoint pairs fail under output-dimension variation?,computational robustness synthesis,Fig6e_dimension_failure_by_method_metric.csv,Fraction of valid dimension rows below the diagnostic boundary.,n = method-context-dimension rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,f,Robustness depends on the analytical axis and diagnostic endpoint.,What is the worst observed robustness value for each component?,computational worst-case synthesis,fig6_worst_case_support.csv,Minimum observed score across tested conditions by method and endpoint.,n is all valid tested conditions for each method-endpoint.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig6,g,Robustness depends on the analytical axis and diagnostic endpoint.,Which method-endpoint pairs depend on upstream PCA dimension?,computational robustness synthesis,Fig6g_upstream_failure_by_method_metric.csv,Fraction of valid upstream-PCA rows below the boundary.,n = method-context-upstream-dimension rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,h,Robustness depends on the analytical axis and diagnostic endpoint.,Which contexts are most sensitive to output dimension?,computational robustness synthesis,Fig6h_dimension_failure_by_dataset_metric.csv,Fraction of method-dimension rows below the boundary by context.,n = method-dimension rows within each context-endpoint.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig6,i,Robustness depends on the analytical axis and diagnostic endpoint.,How large is the change from dimension 2 to dimension 20?,computational dimension contrast,fig6_dimension_sensitivity_slopes.csv,Mean endpoint value at dimension 20 minus value at dimension 2.,n = method-context endpoint pairs available at both dimensions.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig6,j,Robustness depends on the analytical axis and diagnostic endpoint.,Which endpoints fail under dropout and noise?,computational perturbation synthesis,Fig6j_perturbation_failure_by_metric.csv,Fraction of valid perturbation rows below the boundary.,n = method-context-level-replicate rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
Fig7,a,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",How do catalogue-group support fractions change under joint boundary shifts?,deterministic boundary sensitivity,SuppS7_boundary_sensitivity_family_summary.csv,Gate pass fraction under five joint shifts of every continuous boundary.,n = 22 method-context-gate decisions per group and shift.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,b,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",How many baseline decisions change under each joint boundary shift?,deterministic decision-change analysis,SuppS7_boundary_sensitivity_changes.csv,Counts of gained and lost decisions relative to the unshifted analysis.,n = 88 matched gate decisions per shift.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,c,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Does the local-retention failure count depend on reference dimension and k?,local-reference calibration,SuppS10_boundary_count_sensitivity.csv,Number of 24 method-context analyses below 0.30 for 20 reference-by-k definitions.,"n = 24 analyses per definition on a fixed 1,000-cell calibration subset.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,d,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Are local-retention method ranks stable across PCA reference definitions?,local-reference calibration,SuppS10_reference_rank_stability.csv,Pairwise Spearman correlation of method ranks.,n = 8 methods per dataset and reference pair.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,e,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Does the Paul15 pooled continuum decision depend on DPT root definition?,trajectory-root sensitivity,SuppS11_root_sensitive_continuum_metrics.csv,Methods meeting the pooled-distance and local-order boundaries for four roots.,n = 8 methods per root and metric.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,f,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Is pseudotime-distance preservation consistent across Paul15 lineages?,lineage-restricted trajectory analysis,SuppS11_lineage_restricted_metrics.csv,Within-lineage Spearman correlation of sampled pseudotime distances.,n = 8 methods per lineage; lineage cell counts and sampled pairs are reported.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,g,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Does specification-to-profile concordance depend on specification coding and binary distance?,coding sensitivity,SuppS9_signature_definition_sensitivity.csv,Exact Mantel Spearman rho over alternative encodings and Jaccard or Hamming distance.,"n = 8 methods and 28 method pairs; inference uses 40,320 label permutations.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,h,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Is specification concordance driven by one method?,leave-one-method-out influence analysis,SuppS9_leave_one_method_out.csv,Exact Mantel Spearman rho after each method omission.,n = 7 methods and 21 pairs per overlapping omission analysis.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,i,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Do random seeds affect local and global layout stability similarly?,computational random-seed stability,SuppS8_multiseed_method_summary.csv,Worst-context kNN overlap and distance-rank concordance.,n = five seeds and ten seed pairs per method-context combination; all processed cells are scored.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig7,j,"Interpretive conclusions depend on operational definitions, trajectory roots, specification coding and analytical perturbations.",Which analytical axes convert supported baselines into unsupported conditions?,matched robustness transitions,SuppS12_axis_loss.csv,Pass-to-fail fraction among baseline-supported matched comparisons.,n = 56 to 96 baseline-supported comparisons per axis.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
SuppS7,a,"The principal gate conclusions persist across a defined range of operational boundaries, while near-boundary decisions remain conditional.",How does gate support within each navigation group change as operational boundaries shift?,deterministic boundary sensitivity,SuppS7_boundary_sensitivity_family_summary.csv,Pass fraction across 22 applicable method-context-gate decisions per navigation group at each shift.,n = 22 applicable decisions per navigation group and shift.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS7,b,"The principal gate conclusions persist across a defined range of operational boundaries, while near-boundary decisions remain conditional.",Which methods have gate conclusions most sensitive to boundary shifts?,deterministic boundary sensitivity,SuppS7_boundary_sensitivity_method_summary.csv,Pass fraction and unchanged fraction across 11 applicable decisions per method and shift.,n = 11 applicable decisions per method and shift.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS7,c,"The principal gate conclusions persist across a defined range of operational boundaries, while near-boundary decisions remain conditional.",Which baseline decisions lie closest to their limiting operational boundary?,baseline threshold-margin analysis,SuppS7_boundary_sensitivity_decisions.csv,Minimum component margin within each baseline method-context-gate decision.,n = 88 applicable baseline decisions.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS7,d,"The principal gate conclusions persist across a defined range of operational boundaries, while near-boundary decisions remain conditional.",Which claim gates retain their decisions across boundary shifts?,deterministic boundary sensitivity,SuppS7_boundary_sensitivity_gate_summary.csv,Fraction unchanged from baseline by claim gate and boundary shift.,"n = 24 decisions for label, local and global gates; n = 8 for continuum and donor-aware gates.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
